anvaya,anvayaInfo,canto,english,englishInfo,hindi,hindiInfo,pada,padaInfo,sloka,slokaNo
अन्वयक्रमः -,श्रियः पतिः जगन्निवासः हरिः जगत् शासितुं श्रीमति वसुदेवसद्मनि वसन् अम्बरात् अवतरन्तं हिरण्यगर्भाङ्गभुवं मुनिं ददर्श ।,canto1,English Translation- ,"Lakṣmi's consort,Viṣṇu, who is the source of the world, who was born in the house of Vasudeva to control the world, saw Brahma's son Nārada, descending from the sky.",हिन्दीभावार्थ -,"लक्ष्मी के पति, जगत् के निवासस्थान (या जगत् के आधार-स्वरूप) तथा जगत् को शासित करने के लिये अर्थात् शिष्टों पर अनुग्रह करने और दुष्टों को दण्ड देने के लिए, वसुदेव जी के समृद्धिशाली (या रुक्मिणी रूपी लक्ष्मी से युक्त) घर में निवास करते हुए (श्रीकृष्ण के रूप में अवतीर्ण) विष्णु ने आकाश से उतरते हुए ब्रह्मा से उत्पन्न (नारद) मुनि को देखा ।",पदविभागः -,श्रियः पतिः श्रीमति शासितुं जगत् जगन्निवासः वसुदेवसद्मनि । वसन् ददर्श अवतरन्तम् अम्बरात् हिरण्यगर्भाङ्गभुवं मुनिं हरिः ।।,श्रियः पतिः श्रीमति शासितुं जगज्जगन्निवासो वसुदेवसद्मनि । वसन्ददर्शावतरन्तमम्बराद्धिरण्यगर्भाङ्गभुवं मुनिं हरिः ।। १ ।।,1
अन्वयक्रमः -,अनूरुसारथेः गतं तिरश्चीनं प्रसिद्धं हविर्भुजः ऊर्ध्वज्वलनं (प्रसिद्धं) सर्वतः विसारि धाम अधः पतति एतत् किम् इति जनैः आकुलम् ईक्षितम् ।,canto1,English Translation- ,"Śiśupāla, as a child, had four arms, resembled the full moon and possessed three shines like the Sun with his rays overcasting the mountains.",हिन्दीभावार्थ -,सूर्य की गति (सूर्य का गमन) तिरछी प्रसिद्ध है और अग्नि की ज्वाला का ऊपर (की ओर) जाना (प्रसिद्ध है) किन्तु चारों ओर अपने तेज को फैलाने वाला (यह) तेज (ऊपर से) नीचे आ रहा है । यह क्या है? इस प्रकार लोगों ने (उस तेज विशेष को) व्याकुलता पूर्वक देखा ।,पदविभागः -,गतं तिरश्चीनम् अनूरुसारथेः प्रसिद्धम् ऊर्ध्वज्वलनं  हविर्भुजः । पतति अधः धाम विसारि सर्वतः किम् एतत् इति आकुलम् ईक्षितं जनैः ।। ,गतं तिरश्चीनमनूरुसारथेः प्रसिद्धमूर्ध्वज्वलनं हविर्भुजः । पतत्यधो धाम विसारि सर्वतः किमेतदित्याकुलमीक्षितं जनैः ।। २ ।।,2
अन्वयक्रमः -,सः विभुः पुरा त्विषां चयः इति अवधारितं ततः विभाविताकृतिं शरीरी इति विभक्तावयवं पुमान् इति अमुं क्रमात् नारदः इति ,canto1,English Translation- ,"Lord Śrī Kṛṣṇa first saw it as a collection of brilliance, then thought that it was a conscious entity and then confirmed that it was Nārada, by seeing his body parts, such as, hands, legs, etc.,",हिन्दीभावार्थ -,"संसार के समस्त वस्तुतत्त्व के ज्ञाता भगवान् श्रीकृष्ण ने पहले उसे (आकाश से भूतल की ओर आने वाले तेज को) तेजों का समूह समझा, तत्पश्चात् आकृति का (हस्तपादादि का) निश्चय होने पर उसे (तेज को) देहधारी (समझा) और (हस्तपादादि) अवयवों के स्पष्टरूप से दिखलाई देने पर – ‘यह पुरुष है’ ऐसा समझा और इस प्रकार क्रम से उसे ‘यह नारद है’ ऐसा जाना ।",पदविभागः -,चयः त्विषाम् इति अवधारितं पुरा ततः शरीरी इति विभाविताकृतिम् । विभुः विभक्तावयवं पुमान् इति क्रमात् अमुं नारदः इति अबोधि सः ।।,चयस्त्विषामित्यवधारितं पुरा ततः शरीरीति विभाविताकृतिम् । विभुर्विभक्तावयवं पुमानिति क्रमादमुं नारद इत्यबोधि सः ।। ३ ।।,3
अन्वयक्रमः -,नवान् बृहतः पयोधरान् अधोऽधः समूढकर्पूरपरागपाण्डुरं क्षणं क्षणोत्क्षिप्तगजेन्द्रकृत्तिना भूतिसितेन शम्भुना स्फुटोपमम् ।,canto1,English Translation- ,"Śrī Kṛṣṇa saw Nārada under the new water-filled huge clouds which were white like the collection of camphor powder, who was clearly resembling lord Śiva, whose elephant's skin garment flies up during his dance and who is fair, as he is endowed with ashes.",हिन्दीभावार्थ -,नवीन और विशाल (काले-काले) बादलों के नीचे वे नारद जी कर्पूर-चूर्ण के ढेर की तरह अत्यन्त श्वेत-वर्ण से परिलक्षित हो रहे थे । उस समय (काले-काले बादलों के अधिक निकट होते समय) क्षण भर के लिए उनकी (नारद जी की) शोभा ताण्डव नृत्य के अवसर पर हाथी के काले चर्म को ऊपर ओढ़े हुए एवं शरीर पर श्वेत भस्म लपेटे हुए शंकर के समान दृष्टिगोचर हो रही थी ।,पदविभागः -,नवान्  अधोऽधः बृहतः पयोधरान् समूढकर्पूरपरागपाण्डुरम् । क्षणं क्षणोत्क्षिप्तगजेन्द्रकृत्तिना स्फुटोपमं भूतिसितेन शम्भुना ।।,नवानधोऽधो बृहतः पयोधरान् समूढकर्पूरपरागपाण्डुरम् । क्षणं क्षणोत्क्षिप्तगजेन्द्रकृत्तिना स्फुटोपमं भूतिसितेन शम्भुना ।।४।।,4
अन्वयक्रमः -,विपाकपिङ्गाः तुहिनस्थलीरुहः व्रततीततीः धराधरेन्द्रम् इव अम्भोरुहकेशरद्युतीः जटाः दधानम् शरच्चन्द्रमरीचिरोचिषम् ।,canto1,English Translation- ,"(Śrī Kṛṣṇa saw Nārada) who was bearing matted hair, which was shining like the pollen of lotus and whose brilliance was like the rays of autumn and who was resembling the Himālaya, who bears the yellow coloured creepers sprouted from the snow.",हिन्दीभावार्थ -,"कमल के केसर की सी (पीली) कान्तिवाली जटाओं को धारण करते हुए, शरद् ऋतु के चन्द्रमा की किरणों की सी कान्तिवाले, (शुभ्र नारद को) तुषार भूमि में उत्पन्न, परिपाक से पीत वर्ण की लताओं के समूहों को धारण करने वाले हिमालय के समान (इस व्यक्ति को श्रीकृष्ण ने नारद जाना) ।",पदविभागः -,दधानम् अम्भोरुहकेशरद्युतीः जटाः शरच्चन्द्रमरीचिरोचिषम् । विपाकपिङ्गाः तुहिनस्थलीरुहः धराधरेन्द्रं व्रततीततीः इव ।।,दधानमम्भोरुहकेशरद्युतीर्जटाः शरच्चन्द्रमरीचिरोचिषम् ।विपाकपिङ्गास्तुहिनस्थलीरुहो धराधरेन्द्रं व्रततीततीरिव ।।५।।,5
अन्वयक्रमः -,पिशङ्गमौञ्जीयुजम् अर्जुनच्छविं अञ्जनद्युति एणाजिनम् वसानं सुवर्णसूत्राकलिताधराम्बरां शितिवाससः तनुं विडम्बयन्तम् ।,canto1,English Translation- ,"The person wearing yellow coloured waist band, made up of 'Muñjā' grass, of fair complexion and who was possessed of deer skin, which is shining like collyrium bound with golden girdle and who was clothed below in blue and who was resembling the body of Balarāma. (was understood by Śrī Kṛṣṇa as Nārada).",हिन्दीभावार्थ -,"पीतवर्ण की मूँज की मेखला को (करधनी) धारण किये हुए, (तथा स्वयं) गौरवर्णवाले, अञ्जन के समान कान्तिवाले कृष्ण-मृग-चर्म को धारण किये हुए, (अत एव) सोने की करधनी से बँधे हुए, नीले अधोवस्त्र वाले (गौर वर्ण) बलराम के शरीर का अनुकरण करते हुए (उस व्यक्ति को श्रीकृष्ण ने नारद जाना) ।",पदविभागः -,पिशङ्गमौञ्जीयुजम् अर्जुनच्छविं वसानम् एणाजिनम् अञ्जनद्युति सुवर्णसूत्राकलिताधराम्बरां विडम्बयन्तं शितिवाससः तनुम् ।।,पिशङ्गमौञ्जीयुजमर्जुनच्छविं वसानमेणाजिनमञ्जनद्युति । सुवर्णसूत्राकलिताधराम्बरां विडम्बयन्तं शितिवाससस्तनुम् ।।६।।,6
अन्वयक्रमः -,विहङ्गराजाङ्गरुहैः इव आयतैः हिरण्मयोर्वीरुहवल्लितन्तुभिः । कृतोपवीतं हिमशुभ्रं घनान्ते  तडितां  गणैः उच्चकैः  घनम्  इव ।,canto1,English Translation- ,"A person who was wearing a sacred thread that was made out of the fibre of creepers, which had sprouted from the golden earth and which were as long as the feathers of the Garuḍa and who was fair as snow and who was splendrous like a best cloud, which shines with the collection of lightenings of autumn was identified by Śrī Kṛṣṇa as Nārada.",हिन्दीभावार्थ -,"पक्षिराज (गरुड) के रोमों के समान लम्बे, सुवर्णमयी भूमि पर उत्पन्न लताओं के तन्तुओं से निर्मित यज्ञोपवीत धारण किये हुए, (स्वयं) हिम के समान शुभ्रवर्ण, (अत एव) वर्षाकाल के पश्चात् (शरत् ऋतु के) विद्युत् समूहों से युक्त ऊँचे मेघ के समान (दृष्टिगोचर होने वाले महर्षि नारद को श्रीकृष्ण ने देखा ।) ।",पदविभागः -,विहङ्गराजाङ्गरुहैः इव आयतैः हिरण्मयोर्वीरुहवल्लितन्तुभिः । कृतोपवीतं हिमशुभ्रम् उच्चकैः घनं घनान्ते तडितां गणैः इव ।,विहङ्गराजाङ्गरुहैरिवायतैर्हिरण्मयोर्वीरुहवल्लितन्तुभिः । कृतोपवीतं हिमशुभ्रमुच्चकैर्घनं घनान्ते तडितां गणैरिव ।।७।।,7
अन्वयक्रमः -,निसर्गचित्रोज्वलसूक्ष्मपक्ष्मणा लसद्बिसच्छेदसिताङ्गसङ्गिना चारुचमूरुचर्मणा कुथेन इन्द्रवाहनं नागेन्द्रम् इव चकासतम् ।,canto1,English Translation- ,"One who is naturally fair, who had splendrous and tender hair and who wore the beautiful skin of Chittala deer on the body, resembling the fair lotus stalk and who was embellished like Airāvata, the elephant lord possessed of swinging movements.",हिन्दीभावार्थ -,"स्वभावतः चितकबरे तथा उज्जवल और सूक्ष्म (महीन) रोमोंवाले, शोभायमान मृणाल खण्ड के समान गौराङ्ग पर (धवल शरीर पर) स्थित सुन्दर चमूरु मृग के चर्म से, झूल से इन्द्रवाहन ऐरावत की तरह शोभायमान- (नारद को श्रीकृष्ण ने देखा) ।",पदविभागः -,निसर्गचित्रोज्वलसूक्ष्मपक्ष्मणा लसद् बिसच्छेदसिताङ्गसङ्गिना । चकासतं चारुचमूरुचर्मणा कुथेन नागेन्द्रम् इव इन्द्रवाहनम् ।।,निसर्गचित्रोज्ज्वलसूक्ष्मपक्ष्मणा लसद्बिसच्छेदसिताङ्गसङ्गिना । चकासतं चारुचमूरुचर्मणा कुथेन नागेन्द्रमिवेन्द्रवाहनम् ।। ८ ।।,8
अन्वयक्रमः -,अजस्रम् आस्फालितवल्लकीगुणक्षतोज्ज्वलाङ्गुष्ठनखांशुभिन्नया प्रवालैः पूरितार्धया इव अच्छस्फटिकाक्षमालया पुरः विभान्तम् ।,canto1,English Translation- ,Whose finger has a different brilliance due to continuous play of the strings of lute and whose torso was covered with blemishless garland made up of sprouts was identified as Nārada by Śrī Kṛṣṇa.,हिन्दीभावार्थ -,"वीणा के तारों के निरन्तर ताडित करते रहने के कारण घर्षित हुए उज्ज्वल अंगूठे के नख की कान्ति से मिश्रित, रक्तिम आभा से, अग्रिम अर्धभाग को मानों प्रवालों से पूरित करने वाली निर्मल स्फटिक की जपमाला से शोभायमान (आकाश से भूतल की ओर आनेवाले उस व्यक्ति को श्रीकृष्ण ने नारद समझा।) (निरन्तर वीणा को बजाते रहने से वीणा के तारों से अंगूठा घिसकर कुछ रक्तिम माला पर प्रतिबिम्बित हो रही है, (स्फटिक की माला फिराते समय उसपर अंगूठा रखने से उसकी कान्ति स्फटिक के अगले भाग में प्रतिबिम्बत हुआ करती थी) इससे ऐसा मालूम होता था कि मानों स्फटिक के आधे भाग में लाल-मूङ्गा जड़ा हुआ है। उस स्फटिक की माला से महर्षि नारद शोभायमान हो रहे थे ।",पदविभागः -,अजस्रम् आस्फालितवल्लकीगुणक्षतोज्ज्वलाङ्गुष्ठनखांशुभिन्नया । पुरः प्रवालैः इव पूरितार्धया विभान्तम् अच्छस्फटिकाक्षमालया ।,अजस्रमास्फालितवल्लकीगुणक्षतोज्ज्वलाङ्गुष्ठनखांशुभिन्नया । पुरः प्रवालैरिव पूरितार्धया विभान्तमच्छस्फटिकाक्षमालया ।। ९ ।।,9
अन्वयक्रमः -,नभस्वतः पृथक् आघट्टनया रणद्भिः विभिन्नश्रुतिमण्डलैः स्वरैः स्फुटीभवद्ग्रामविशेषमूर्च्छनां महतीं  मुहुर्मुहुः अवेक्षमाणम् ।,canto1,English Translation- ,"Śrī Kṛṣṇa, saw Nārada, who was observing his Lute, named as Mahatī, which is sounding differently, owing to its contact with air and sounded as Mūrchanās according to Grāma. (ग्रामविशेषमूर्च्छनाः).",हिन्दीभावार्थ -,वायु के आघात से उत्पन्न वीणा के तारों की झनझनाहट में पृथक् पृथक् मालूम होने वाले अनेक श्रुतसमूहात्मक- सा-रि-ग-म-प-द-नी- आदि सात स्वरों द्वारा आरोहावरोह क्रमभेद को (विभिन्न ग्रामों की मूर्छनाओं को) व्यक्त करने वाली महती नामक निज वीणा को बार-बार (सकौतुक) देखते हुए (उस व्यक्ति को श्रीकृष्ण ने नारद समझा) ।,पदविभागः -,रणद्भिः आघट्टनया नभस्वतः पृथक् विभिन्नश्रुतिमण्डलैः स्वरैः ।  स्फुटीभवद्ग्रामविशेषमूर्च्छनाम् अवेक्षमाणं महतीं मुहुर्मुहुः ।।,रणद्भिराघट्टनया नभस्वतः पृथग्विभिन्नश्रुतिमण्डलैः स्वरैः । स्फुटीभवद्ग्रामविशेषमूर्च्छनामवेक्षमाणं महतीं मुहुर्मुहुः ।। १० ।।,10
