Sanskrit,Without Sandhi,Multipule Morphology,Morph in Context,Samaasa structural analysis,Samaasa vigraha,Kaaraka relation,Category,Hindi Meaning,English Meaning,Derivational Meaning,Sandhi rules,Meter: Guru-Laghu
1.1.Aसञ्जय,1.1.Bसञ्जय,1.1.Cसम् जि1{कर्तरि;लोट्;म;एक;परस्मैपदी;जि;भ्वादिः}/सञ्ज्1 णिच्{कर्तरि;लोट्;म;एक;परस्मैपदी;षञ्जँ;भ्वादिः},1.1.Dसञ्जय{पुं}{8;एक},1.1.E-,1.1.F-,1.1.Gसम्बोध्यः 10,1.1.H-,1.1.Iहे संजय,1.1.JO Sanjaya,1.1.Kसम्यक् जयतीति सञ्जयः,1.1.L-,1.1.MGLL
धर्म-क्षेत्रे,धर्मक्षेत्रे,धर्मन्-क्षेत्र{नपुं}{1;द्वि}/क्षेत्र{नपुं}{2;द्वि}/क्षेत्र{नपुं}{7;एक},धर्मन्-क्षेत्र{नपुं}{7;एक},<धर्म-क्षेत्रे>T6,धर्मस्य क्षेत्रम् = धर्मक्षेत्रम् तस्मिन् धर्मक्षेत्रे,विशेषणम् 3,-,धर्मभूमि में,in the place of pilgrimage,-,-,GGGG
कुरु-क्षेत्रे,कुरुक्षेत्रे,कुरु-क्षेत्र{नपुं}{1;द्वि}/क्षेत्र{नपुं}{2;द्वि}/क्षेत्र{नपुं}{7;एक},कुरु-क्षेत्र{नपुं}{7;एक},<कुरु-क्षेत्रे>T6,कुरूणाम् क्षेत्रम् = कुरुक्षेत्रम् तस्मिन् कुरुक्षेत्रे,अधिकरणम् 10,-,कुरुक्षेत्र में,in the place named Kuruksetra,-,-,LGGG
समवेताः,समवेता,समवेत{पुं}{1;बहु}/समवेता{स्त्री}{1;बहु}/समवेता{स्त्री}{2;बहु},समवेत{पुं}{1;बहु},-,-,विशेषणम् 7,-,एकत्रित,assembled,-,रुत्व-यत्व-लोप-सन्धिः (ससजुषो रुः (8।2।66)-भोभगोअघो अपूर्वस्य योऽशि (8।3।17)-हलि सर्वेषाम् (8।3।22)),GLGG
युयुत्सवः,युयुत्सवः,युयुत्सु{पुं}{1;बहु},युयुत्सु{पुं}{1;बहु},-,-,विशेषणम् 7,-,युद्ध की इच्छावाले,eager to fight,-,-,LGLG
मामकाः,मामकाः,मामक{पुं}{1;बहु},मामक{पुं}{1;बहु},-,-,समुच्चितम् 7,-,मेरे,my (sons),-,-,GLG
च एव,-,च{अव्य} एव{अव्य},च{अव्य} एव{अव्य},-,-,कर्ता 10,-,और,and certainly,-,सत्व-श्चुत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)-स्तोः श्चुना श्चुः (8।4।40)) / वृद्धि-सन्धिः (वृद्धिरेचि (6।1।88)),GLGGL
पाण्डवाः,पाण्डवाश्चैव,पाण्डव{पुं}{1;बहु},पाण्डव{पुं}{1;बहु},-,-,समुच्चितम् 7,-,पाण्डु के पुत्रों ने,the sons of Pandu,-,-,GLGLL
किम्,किमकुर्वत,किम्{नपुं}{1;एक}/किम्{नपुं}{2;एक},किम्{नपुं}{2;एक},-,-,कर्म 10,-,क्या,what,-,-,GG
अकुर्वत,-,कृ3{कर्तरि;लङ्;प्र;बहु;आत्मनेपदी;डुकृञ्;तनादिः},कृ{कर्तरि;लङ्;प्र;बहु;आत्मनेपदी;डुकृञ्;तनादिः},-,-,-,-,किया,did they do,-,सत्व-सन्धिः (विसर्जनीयस्य सः (8।3।34)),GGLGLG
1.2.Aतदा,1.2.B-,1.2.Cतदा{अव्य},1.2.Dतदा{अव्य},1.2.E-,1.2.F-,1.2.Gअधिकरणम् 11,1.2.H-,1.2.Iउस समय,1.2.Jat that time,-,-,GG
राजा,राजा,राजन्{पुं}{1;एक},राजन्{पुं}{1;एक},-,-,विशेषणम् 3,-,राजा,the king,-,-,GLGGG
दुर्योधनः,दुर्योधनस्तदा,दुर्योधन{पुं}{1;एक},दुर्योधन{पुं}{1;एक},-,-,कर्ता 11,-,दुर्योधन ने,Duryodhana,-,-,GG
व्यूढम्,व्यूढं,व्यूढ{पुं}{2;एक}/व्यूढ{नपुं}{1;एक}/व्यूढ{नपुं}{2;एक},व्यूढ{पुं}{2;एक},-,-,विशेषणम् 5,-,व्यूहरचनायुक्त,arranged in military phalanx,-,-,L
पाण्डव-अनीकम्,पाण्डवानीकं,पाण्डव-अनीक{पुं}{2;एक},पाण्डव-अनीक{पुं}{2;एक},<पाण्डव-अनीकं>T6,पाण्डवानाम् अनीकं = पाण्डवानीकम्,कर्म 6,-,पाण्डवों की सेना को,the army of the Pandavas,-,-,GGGLLGGL
