chpatno,slokano,sentno,Words,Sandhied Words,Hindi Meanings,English Meanings
01,001,1,,(-) वागर्थप्रतिपत्तये वागर्थाविव सम्पृक्तौ जगतः पितरौ पार्वतीपरमेश्वरौ वन्दे,मैं वाणी और अर्थ के सिद्धी_के_लिये वाणी और अर्थ के जैसे मिले_हुए विश्व_के माता और पिता पार्वती और शिव को वंदन_करता_हूँ,- - - - - - - -
01,002,1,,क्व सूर्यप्रभवो वंशः (-),कहाँ सूर्य-मूल वंश है,- - - -
01,002,2,,क्व चाल्पविषया - (-) मतिः (-),कहाँ भी अल्पविषया मेरी बुद्धि है,- - - - - -
01,002,3,,(-) मोहादुडुपेनास्मि - - सागरम् तितीर्षुर्दुस्तरं (-),मैं मोह_के_कारण बेडे_से जिसका_पार_करना_कठिन_हो_ऐसा सागर तरने_के_लिए_इच्छुक हूँ,- - - - - - -
01,003,1,,(-) मन्दः (-) (-) कवियशःप्रार्थी (-) प्रांशुलभ्ये फले लोभादुद्बाहुरिव - वामनः - - गमिष्याम्युपहास्यताम्,मैं मन्द हूँ फिर_भी कवीश्वरों_का_यश_चाहनेवाला  मैं लंबे_(पुरूष)_के_हाथ_लगने_योग्य फल_की_ओर लोभ_से बोने वामन जैसे उपहास्यता_को प्राप्त_होऊँगा,- - - - - - - - - - - - - -
01,004,1,,अथ वा - कृतवाग्द्वारे  - वंशेऽस्मिन्पूर्वसूरिभिः वज्रसमुत्कीर्णे मणौ सूत्रस्येवास्ति - मे गतिः (-),अब  वा पूर्व-विद्वानों_से कहे गये बातों के द्वारे  इस वंश_में वज्र-समान-उत्-छितराया_हुए मणि_में सूत्र_के जैसे मेरी गति है,- - - - - - - - - - - - -
01,005,1,,सोहमाजन्मशुद्धानामामफलोदयकर्मणाम् - - आसमुद्रक्षितीशानामानाकरथवर्त्मनाम् - (-) (-) (-),ऐसा मैं जन्म_से_लेकर_शुद्धों_का फल_प्राप्त_होने_तक_कर्म_करनेवालों_का समुद्र_तक_पृथिवी_के_अधिकारियों_का स्वर्ग_तक_रथ_के_मार्ग_वालों_का (ऐसे)_रघुओं_के वंश_का वर्णन_करता_हूँ,- - - - - - - -
01,006,1,,(-) यथाविधिहुताग्नीनां यथाकामार्चितार्थिनाम् यथापराधदण्डानां यथाकालप्रबोधिनाम् (-) (-) (-),मैं विधिपूर्वक_यज्ञों_में_आहुती_देने_वालों_का कामना_के_अनुसार_याचकों_का_पूजन_करनेवालों_का अपराध_के_अनुसार_दण्ड_देनेवालों_का उचित_समय_पर_जागनेवालों_का (ऐसे)_रघुओं_के वंश_का वर्णन_करता_हूँ,- - - - - - - -
01,007,1,,(-) त्यागाय सम्भृतार्थानां सत्याय मितभाषिणाम् यशसे विजिगीषूणां प्रजायै गृहमेधिनाम् (-) (-) (-),मैं दान_करने_के_लिए धन_इकठ्ठा_करने_वालों_का सत्य_के_लिये थोडा_बोलने_वालों_का कीर्ति_के_लिए जीत_चाहनेवालों_का पुत्र_के_लिये विवाह_करनेवालों_का (ऐसे)_रघुओं_के वंश_का वर्णन_करता_हूँ,- - - - - - - - - - - -
01,008,1,,(-) शैशवेभ्यस्तविद्यानां - यौवने विषयैषिणाम् वार्द्धके मुनिवृत्तीनां -  योगेनान्ते तनुत्यजाम् (-) (-) (-),मैं बचपन_में विद्या_पढनेवालों_का यौवन_में भोग_की_इच्छा_करनेवालों_का बूढापे_में मुनि-वृत्ति_होनेवालों_का अन्त_में योग_से शरीर-त्याग_करनेवालों_का (ऐसे)_रघुओं_के वंश_का वर्णन_करता_हूँ,- - - - - - - - - - - - -
