chaptno,slokano,spart1,spart2
01,001,वागर्थाविव संपृक्तौ वागर्थप्रतिपत्तये।,जगतः पितरौ वन्दे पार्वतीपरमेश्वरौ॥
01,002,क्व सूर्यप्रभवो वंशः क्व चाल्पविषया मतिः।,तितीर्षुर्दुस्तरं मोहादुडुपेनास्मि सागरम्॥
01,003,मन्दः कवियशःप्रार्थी गमिष्याम्युपहास्यताम्।,प्रांशुलभ्ये फले लोभादुद्बाहुरिव वामनः॥
01,004,अथ वा कृतवाग्द्वारे वंशेऽस्मिन्पूर्वसूरिभिः।,मणौ वज्रसमुत्कीर्णे सूत्रस्येवास्ति मे गतिः॥
01,005,सोऽहमाजन्मशुद्धानामाफलोदयकर्मणाम्।,आसमुद्रक्षितीशानामानाकरथवर्त्मनाम्॥
01,006,यथाविधिहुताग्नीनां यथाकामार्चितार्थिनाम्।,यथापराधदण्डानां यथाकालप्रबोधिनाम्॥
01,007,त्यागाय संभृतार्थानां सत्याय मितभाषिणाम्।,यशसे विजिगीषूणां प्रजायै गृहमेधिनाम्॥
01,008,शैशवेऽभ्यस्तविद्यानां यौवने विषयैषिणाम्।,वार्द्धके मुनिवृत्तीनां योगेनान्ते तनुत्यजाम्॥
01,009,रघूणामन्वयं वक्ष्ये तनुवाग्विभवोऽपि सन्।,तद्गुणैः कर्णमागत्य चापलाय प्रचोदितः॥
01,010,तं सन्तः श्रोतुमर्हन्ति सदसद्व्यक्तिहेतवः।,हेम्नः संलक्ष्यते ह्यग्नौ विशुद्धिः श्यामिकाऽपि वा॥
01,011,वैवस्वतो मनुर्नाम माननीयो मनीषिणाम्।,आसीन्महीक्षितामाद्यः प्रणवश्छन्दसामिव॥
01,012,तदन्वये शुद्धिमति प्रसूतः शुद्धिमत्तरः।,दिलीप इति राजेन्दुरिन्दुः क्षीरनिधाविव॥
01,013,व्यूढोरस्को वृषस्कन्धः शालप्रांशुर्महाभुजः।,आत्मकर्मक्षमं देहं क्षात्रो धर्म इवाश्रितः॥
01,014,सर्वातिरिक्तसारेण सर्वतेजोभिभाविना।,स्थितः सर्वोन्नतेनोर्वीं क्रान्त्वा मेरुरिवात्मना॥
01,015,आकारसदृशप्रज्ञः प्रज्ञया सदृशागमः।,आगमैः सदृशारम्भ आरम्भसदृशोदयः॥
01,016,भीमकान्तैर्नृपगुणैः स बभूवोपजीविनाम्।,अधृष्यश्चाभिगम्यश्च यादोरत्नैरिवार्णवः॥
01,017,रेखामात्रमपि क्षुण्णादा मनोर्वर्त्मनः परम्।,न व्यतीयुः प्रजास्तस्य नियन्तुर्नेमिवृत्तयः॥
01,018,प्रजानामेव भूत्यर्थं स ताभ्यो बलिमग्रहीत्।,सहस्रगुणमुत्स्रष्टुमादत्ते हि रसं रविः॥
01,019,सेनापरिच्छदस्तस्य द्वयमेवार्थसाधनम्।,शास्त्रेष्वकुण्ठिता बुद्धिर्मौर्वी धनुषि चातता॥
01,020,तस्य संवृतमन्त्रस्य गूढाकारेङ्गितस्य च।,फलानुमेयाः प्रारम्भाः संस्काराः प्राक्तना इव॥
01,021,जुगोपात्मानमत्रस्तो भेजे धर्ममनातुरः।,अगृध्नुराददे सोऽर्थमसक्तः सुखमन्वभूत्॥
01,022,ज्ञाने मौनं क्षमा शक्तौ त्यागे श्लाघाविपर्ययः।,गुणा गुणानुबन्धित्वात्तस्य सप्रसवा इव॥
01,023,अनाकृष्टस्य विषयैर्विद्यानां पारदृश्वनः।,तस्य धर्मरतेरासीद्वृद्धत्वं जरसा विना॥
01,024,प्रजानां विनयाधानाद्रक्षणाद्भरणादपि।,स पिता पितरस्तासां केवलं जन्महेतवः॥
01,025,स्थित्यै दण्डयतो दण्ड्यान्परिणेतुः प्रसूतये।,अप्यर्थकामौ तस्यास्तां धर्म एव मनीषिणः॥
01,026,दुदोह गां स यज्ञाय सस्याय मघवा दिवम्।,सम्पद्विनियमयेनोभौ दधतुर्भुवनद्वयम्॥
01,027,न किलानुययुस्तस्य राजानो रक्षितुर्यशः।,व्यावृत्ता यत्परस्वेभ्यः श्रुतौ तस्करता स्थिता॥
01,028,द्वेष्योऽपि सम्मतः शिष्टस्तस्यार्तस्य यथौषधम्।,त्याज्यो दुष्टः प्रियोऽप्यासीदङ्गुलीवोरगक्षता॥
01,029,तं वेधा विदधे नूनं महाभूतसमाधिना।,तथा हि सर्वे तस्यासन्परार्थैकफला गुणाः॥
01,030,स वेलावप्रवलयां परिखीकृतसागराम्।,अनन्यशासनामुर्वीं शशासैकपुरीमिव॥
01,031,तस्य दाक्षिण्यरूढेन नाम्ना मगधवंशजा।,पत्नी सुदक्षिणेत्यासीदध्वरस्येव दक्षिणा॥
01,032,कलत्रवन्तमात्मानमवरोधे महत्यपि।,तया मेने मनस्विन्या लक्ष्म्या च वसुधाधिपः॥
01,033,तस्यामात्मानुरूपायामात्मजन्मसमुत्सुकः।,विलम्बितफलैः कालं स निनाय मनोरथैः॥
01,034,सन्तानार्थाय विधये स्वभुजादवतारिता।,तेन धूर्जगतो गुर्वी सचिवेषु निचिक्षिपे॥
01,035,अथाभ्यर्च्य विधातारं प्रयतौ पुत्रकाम्यया।,तौ दम्पती वसिष्ठस्य गुरोर्जग्मतुराश्रमम्॥
01,036,स्निग्धगम्भीरनिर्घोषमेकं स्यन्दनमास्थितौ।,प्रावृषेण्यं पयोवाहं विद्युदैरावताविव॥
01,037,मा भूदाश्रमपीडेति परिमेयपुरःसरौ।,अनुभावविशेषात्तु सेनापरिवृताविव॥
01,038,सेव्यमानौ सुखस्पर्शैः शालनिर्यासगन्धिभिः।,पुष्परेणूत्किरैर्वातैराधूतवनराजिभिः॥
01,039,मनोभिरामाः शृण्वन्तौ रथनेमिस्वनोन्मुखैः।,षड्जसंवादिनीः केका द्विधा भिन्नाः शिखण्डिभिः॥
01,040,परस्पराक्षिसादृश्यमदूरोज्झितवर्त्मसु।,मृगद्वन्द्वेषु पश्यन्तौ स्यन्दनाबद्धदृष्टिषु॥
01,041,श्रेणीबन्धाद्वितन्वद्भिरस्तम्भां तोरणस्रजम्।,सारसैः कलनिर्ह्रादैः क्वचिदुन्नमिताननौ॥
01,042,पवनस्यानुकूलत्वात्प्रार्थनासिद्धिशंसिनः।,रजोभिस्तुरगोत्कीर्णैरस्पृष्टालकवेष्टनौ॥
01,043,सरसीष्वरविन्दानां वीचिविक्षोभशीतलम्।,आमोदमुपजिघ्रन्तौ स्वनिःश्वासानुकारिणम्॥
01,044,ग्रामेष्वात्मविसृष्टेषु यूपचिह्नेषु यज्वनाम्।,अमोघाः प्रतिगृह्णन्तावर्घ्यानुपदमाशिषः॥
01,045,हैयङ्गवीनमादाय घोषवृद्धानुपस्थितान्।,नामधेयानि पृच्छन्तौ वन्यानां मार्गशाखिनाम्॥
01,046,काऽप्यभिख्या तयोरासीद्व्रजतोः शुद्धवेषयोः।,हिमनिर्मुक्तयोर्योगे चित्राचन्द्रमसोरिव॥
01,047,तत्तद्भूमिपतिः पत्न्यै दर्शयन्प्रियदर्शनः।,अपि लङ्घितमध्वानं बुबुधे न बुधोपमः॥
01,048,स दुष्प्रापयशाः प्रापदाश्रमं श्रान्तवाहनः।,सायं संयमिनस्तस्य महर्षेर्महिषीसखः॥
01,049,वनान्तरादुपावृत्तैः समित्कुशफलाहरैः।,पूर्यमाणमदृश्याग्निप्रत्युद्यातैस्तपस्विभिः॥
01,050,आकीर्णमृषिपत्नीनामुटजद्वाररोधिभिः।,अपत्यैरिव नीवारभागधेयोचितैर्मृगैः॥
01,051,सेकान्ते मुनिकन्याभिस्तत्क्षणोज्झितवृक्षकम्।,विश्वासाय विहङ्गानामालवालाम्बुपायिनाम्॥
01,052,आतपात्ययसंक्षिप्तनीवारासु निषादिभिः।,मृगैर्वर्तितरोमन्थमुटजाङ्गनभूमिषु॥
01,053,अभ्युत्थिताग्निपिशुनैरतिथीनाश्रमोन्मुखान्।,पुनानं पवनोद्धूतैर्धूमैराहुतिगन्धिभिः॥
01,054,अथ यन्तारमादिश्य धुर्यान्विश्रामयेति सः।,तामवारोहयत्पत्नीं रथादवततार च॥
01,055,तस्मै सभ्याः सभार्याय गोप्त्रे गुप्ततमेन्द्रियाः।,अर्हणामर्हते चक्रुर्मुनयो नयचक्षुषे॥
01,056,विधेः सायन्तनस्यान्ते स ददर्श तपोनिधिम्।,अन्वासितमरुन्धत्या स्वाहयेव हविर्भुजम्॥
01,057,तयोर्जगृहतुः पादान्राजा राज्ञी च मागधी।,तौ गुरुर्गुरुपत्नी च प्रीत्या प्रतिननन्दतुः॥
01,058,तमातिथ्यक्रियाशान्तरथक्षोभपरिश्रमम्।,पप्रच्छ कुशलं राज्ये राज्याश्रममुनिं मुनिः॥
