Index,संस्कृतम्,Morphological Analysis,शब्दविश्लेषणम्,हिन्दी-विभक्ति:,हिन्दी अर्ध,English Meaning
2.1.A,1.Aरामायणम्,1.CB-A,1.Dरामायण{1}{नपुं-ए.},1.Eरामायण+{0/ने},1.Fरामायणम्,1.Gरामायणम्
2.1.B,2.1.Aतपः-स्वाध्याय-निरतम्,2.1.CB-B,2.1.Dतपः-स्वाध्याय-निरत{2}{पुं-ए.},2.1.Eतपः-स्वाध्याय-निरत+{को2},2.1.Fतप~एवं~स्वाध्याय~में~संलग्न,2.1.GWho_is_constantly_engaged_in_penance_and_self-study
2.1.C,तपस्वी,B-A,तपस्विन्{1}{पुं-ए.},तपस्विन्+{0/ने},तपस्वी,One_who_performs_penance
2.1.D,वाग्-विदाम्,B-F,वाग्विद्{6}{पुं-ब.},वाग्विद्+{का},शास्त्रज्ञों~में,amongst_wise_men
2.1.E,वरम्,B-B,वर{2}{पुं-ए.},वर+{को2},श्रेष्ठ,greatest
2.1.F,2.2.Aनारदम्,2.2.CB-B,2.2.Dनारद{2}{पुं-ए.},2.2.Eनारद+{को2},2.2.Fदेवर्षि~नारद~से,2.2.Gto_the_devine_sage_Narada
2.1.G,परि-पप्रच्छ,B-v,परि+प्रच्छ्{कर्तरि_लिट्_प्रपु_ए.},परि+प्रच्छ्{कर्तरि_लिट्_प्रपु_ए.},पूछा,asked
2.1.H,वाल्मीकिः,B-A,वाल्मीकि{1}{पुं-ए.},वाल्मीकि+{0/ने},महर्षि~वाल्मीकि,sage_named_Valmiki
2.1.I,मुनि-पुङ्गवम्,B-B,मुनि-पुङ्गव{2}{पुं-ए.},मुनि-पुङ्गव+{को2},मुनि-श्रेष्ठ,greatest_among_sages
2.1.J,1,-,1,1,1,1
2.1.K,3.1.Aकः,3.1.CB-A,3.1.Dकिम्{1}{पुं-ए.},3.1.Eकिम्+{0/ने},3.1.Fकौन,3.1.Gwho
2.1.L,नु,-,नु,नु,नु,But
2.1.M,अस्मिन्,B-G,इदम्{7}{पुं-ए.},इदम्+{में/पर},इस,in this
2.1.N,साम्प्रतम्,-,साम्प्रतम्{वर्तमानार्थकम्},साम्प्रतम्{वर्तमानार्थकम्},इस~समय,now
2.1.O,लोके,B-G,लोक{7}{पुं-ए.},लोक+{में/पर},लोक~में,world
2.1.P,गुणवान्,B-A,गुणवत्{1}{पुं-ए.},गुणवत्+{0/ने},प्रशस्त~गुणों~से~युक्त,associated_with_virtues
2.1.Q,कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
2.1.R,च,-,च,च,भी,too
2.1.S,वीर्यवान्,B-A,वीर्यवत्{1}{पुं-ए.},वीर्यवत्+{0/ने},पराक्रम~सम्पन्न,possessed_of_prowess
2.1.T,3.2.Aधर्मज्ञः,3.2.CB-A,3.2.Dधर्मज्ञ{1}{पुं-ए.},3.2.Eधर्मज्ञ+{0/ने},3.2.Fधर्म~के~ज्ञाता,3.2.Gknower_of_duties
2.1.U,च,-,च,च,भी,too
2.1.V,कृतज्ञः,B-A,कृतज्ञ{1}{पुं-ए.},कृतज्ञ+{0/ने},दूसरों~के~उपकार~को~याद~रखने~वाला,conscious_of_service_done_by_others
2.1.W,च,-,च,च,भी,too
2.1.X,सत्य-वाक्यः,B-A,सत्य-वाक्य{1}{पुं-ए.},सत्य-वाक्य+{0/ने},सदा~ही~सत्य~बोलने~वाला,one_who_always_speaks_truth
2.1.Y,दृढ-व्रतः,B-A,दृढ-व्रत{1}{पुं-ए.},दृढ-व्रत+{0/ने},दृढ~संकल्प~वाला,determined
2.1.Z,2,-,2,2,2,2
2.1.[,4.1.Aचारित्रेण,4.1.CB-C,4.1.Dचारित्र{3}{नपुं-ए.},4.1.Eचारित्र+{से3},4.1.Fचारित्र्य~से,4.1.Gright_conduct
2.1.\,च,-,च,च,भी,too
2.1.],कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
2.1.^,युक्तः,B-A,युक्त{1}{पुं-ए.},युक्त+{0/ने},सम्पन्न,associated
2.1._,सर्व-भूतेषु,B-G,सर्व-भूत{7}{पुं-ब.},सर्व-भूत+{में/पर},सभी~प्राणियों~में,among_all_the_living_beings
2.1.`,कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
2.1.a,हितः,B-A,हित{1}{पुं-ए.},हित+{0/ने},हित~करने~वाला,one_who_does_good
2.1.b,4.2.Aविद्वान्,4.2.CB-A,4.2.Dविद्वस्{1}{पुं-ए.},4.2.Eविद्वस्+{0/ने},4.2.Fशास्त्रों~का~ज्ञाता,4.2.Gman_of_sastric_knowledge
2.1.c,कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
2.1.d,कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
2.1.e,समर्थः,B-A,समर्थ{1}{पुं-ए.},समर्थ+{0/ने},समर्थ,"capable,skilful"
2.1.f,च,-,च,च,भी,too
2.1.g,कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
2.1.h,च,-,च,च,भी,too
2.1.i,एक-प्रिय-दर्शनः,B-A,एक-प्रिय-दर्शन{1}{पुं-एक},एक-प्रिय-दर्शन+{0/ने},सभी~का~हमेशा~प्रिय,one_who_is_dear_to_all
2.1.j,3,-,3,3,3,3
2.1.k,5.1.Aआत्मवान्,5.1.CB-A,5.1.Dआत्मवत्{1}{पुं-ए.},5.1.Eआत्मवत्+{0/ने},5.1.Fस्वाधीन~अन्त:करण~वाला,5.1.Gsubduer_of_self
2.1.l,कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
2.1.m,जित-क्रोधः,B-A,जित-क्रोध{1}{पुं-ए.},जित-क्रोध+{0/ने},क्रोध~को~वश~में~रखनेवाला,conquerer_of_anger
2.1.n,द्युतिमान्,B-A,द्युतिमत्{1}{पुं-ए.},द्युतिमत्+{0/ने},कान्तियुक्त,radiant
2.1.o,कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
2.1.p,अनसूयकः,-,अनसूयकः{1}{पुं-ए.},अनसूयकः+{0/ने},असूया~से~रहित,free_from_jealousy
2.1.q,5.2.Aकस्य,5.2.CB-F,5.2.Dकिम्{6}{पुं-ए.},5.2.Eकिम्+{का},5.2.Fकिससे,5.2.Gfrom_whom
2.1.r,बिभ्यति,B-v,भी{कर्तरि_लट्_प्रपु_ब.},भी{कर्तरि_लट्_प्रपु_ब.},भयभीत~होते~हैं,do_fear
2.1.s,देवाः,B-A,देव{1}{पुं-ब.},देव+{0/ने},देवता,the_gods
2.1.t,च,-,च,च,भी,too
2.1.u,जात-रोषस्य,B-F,जात-रोष{6}{पुं-ए.},जात-रोष+{का},क्रुद्ध~होने~(पर),when_wrath_is_provoked
2.1.v,सम्-युगे,B-G,सम्-युग{7}{पुं-ए.},सम्-युग+{में/पर},युद्ध~में,in_the_battle
2.1.w,4,-,4,4,4,4
2.1.x,6.1.Aएतद्,6.1.CB-B,6.1.Dएतद्{2}{नपुं-ए.},6.1.Eएतद्+{को2},6.1.Fइसे,6.1.Gएतद्
2.1.y,इच्छामि,B-v,इष्{कर्तरि_लट्_उपु_ए.},इष्{कर्तरि_लट्_उपु_ए.},चाहता~हूँ,(I)desire
2.1.z,अहम्,B-A,अस्मद्{1}{सर्व-ए.},अस्मद्+{0/ने},मैं,I
2.1.{,श्रोतुम्,-,श्रोतुम्{तुमुन्नन्तम्},श्रोतुम्{तुमुन्नन्तम्},सुनना,to_hear
2.1.|,परम्,-,परम्,परम्,उत्कट,great
2.1.},कौतूहलम्,B-A,कौतूहल{1}{नपुं-ए.},कौतूहल+{0/ने},कौतुक,curiosity
2.1.~,हि,-,हि,हि,चूँकि,because
