Structural Index,Devanagari Text
2.1.,तपः-स्वाध्याय-निरतम् तपस्वी वाग्-विदाम् वरम्,,तप एवं स्वाध्याय में संलग्न तपस्वी शास्त्रज्ञों में श्रेष्ठ,,Who is constantly engaged in penance and self-study One who performs penance amongst wise men greatest
2.2.,नारदम् परि-पप्रच्छ वाल्मीकिः मुनि-पुङ्गवम् 1,,देवर्षि नारद से पूछा महर्षि वाल्मीकि मुनि-श्रेष्ठ 1,,to the devine sage Narada asked sage named Valmiki greatest among sages 1
3.1.,कः नु अस्मिन् साम्प्रतम् लोके गुणवान् कः च वीर्यवान्,,कौन नु इस इस समय लोक में प्रशस्त गुणों से युक्त कौन भी पराक्रम सम्पन्न,,who But in this now world associated with virtues who too possessed of prowess
3.2.,धर्मज्ञः च कृतज्ञः च सत्य-वाक्यः दृढ-व्रतः 2,,धर्म के ज्ञाता भी दूसरों के उपकार को याद रखने वाला भी सदा ही सत्य बोलने वाला दृढ संकल्प वाला 2,,knower of duties too conscious of service done by others too one who always speaks truth determined 2
4.1.,चारित्रेण च कः युक्तः सर्व-भूतेषु कः हितः,,चारित्र्य से भी कौन सम्पन्न सभी प्राणियों में कौन हित करने वाला,,right conduct too who associated among all the living beings who one who does good
4.2.,विद्वान् कः कः समर्थः च कः च एक-प्रिय-दर्शनः 3,,शास्त्रों का ज्ञाता कौन कौन समर्थ भी कौन भी सभी का हमेशा प्रिय 3,,"man of sastric knowledge who who capable,skilful too who too one who is dear to all 3"
5.1.,आत्मवान् कः जित-क्रोधः द्युतिमान् कः अनसूयकः,,स्वाधीन अन्त:करण वाला कौन क्रोध को वश में रखनेवाला कान्तियुक्त कौन असूया से रहित,,subduer of self who conquerer of anger radiant who free from jealousy
5.2.,कस्य बिभ्यति देवाः च जात-रोषस्य सम्-युगे 4,,किससे भयभीत होते हैं देवता भी क्रुद्ध होने (पर) युद्ध में 4,,from whom do fear the gods too when wrath is provoked in the battle 4
6.1.,एतद् इच्छामि अहम् श्रोतुम् परम् कौतूहलम् हि मे,,इसे चाहता हूँ मैं सुनना उत्कट कौतुक चूँकि मेरा,,एतद् (I)desire I to hear great curiosity because mine
6.2.,महर्षे त्वम् समर्थः असि ज्ञातुम् एवं-विधम् नरम् 5,,मुनिवर तुम (आप) समर्थ हो जानने के लिए उक्त गुणों से युक्त मानव को 5,,"O sage! you capable,skillful (you)are to know having such good qualities to man 5"
