संस्कृतम्,विभक्ति:,शब्दविश्लेषणम्,हिन्दी-विभक्ति:,हिन्दी अर्ध,English Meaning
1.Aरामायणम्,1.CB-A,1.Dरामायण{1}{नपुं-ए.},1.Eरामायण+{0/ने},1.Fरामायणम्,1.Gरामायणम्
,,,,,
2.1.Aतपः-स्वाध्याय-निरतम्,2.1.CB-B,2.1.Dतपः-स्वाध्याय-निरत{2}{पुं-ए.},2.1.Eतपः-स्वाध्याय-निरत+{को2},2.1.Fतप एवं स्वाध्याय में संलग्न,2.1.GWho is constantly engaged in penance and self-study
तपस्वी,B-A,तपस्विन्{1}{पुं-ए.},तपस्विन्+{0/ने},तपस्वी,One who performs penance
वाग्-विदाम्,B-F,वाग्विद्{6}{पुं-ब.},वाग्विद्+{का},शास्त्रज्ञों में,amongst wise men
वरम्,B-B,वर{2}{पुं-ए.},वर+{को2},श्रेष्ठ,greatest
2.2.Aनारदम्,2.2.CB-B,2.2.Dनारद{2}{पुं-ए.},2.2.Eनारद+{को2},2.2.Fदेवर्षि नारद से,2.2.Gto the devine sage Narada
परि-पप्रच्छ,B-v,परि+प्रच्छ्{कर्तरि लिट् प्रपु ए.},परि+प्रच्छ्{कर्तरि लिट् प्रपु ए.},पूछा,asked
वाल्मीकिः,B-A,वाल्मीकि{1}{पुं-ए.},वाल्मीकि+{0/ने},महर्षि वाल्मीकि,sage named Valmiki
मुनि-पुङ्गवम्,B-B,मुनि-पुङ्गव{2}{पुं-ए.},मुनि-पुङ्गव+{को2},मुनि-श्रेष्ठ,greatest among sages
1,-,1,1,1,1
3.1.Aकः,3.1.CB-A,3.1.Dकिम्{1}{पुं-ए.},3.1.Eकिम्+{0/ने},3.1.Fकौन,3.1.Gwho
नु,-,नु,नु,नु,But
अस्मिन्,B-G,इदम्{7}{पुं-ए.},इदम्+{में/पर},इस,in this
साम्प्रतम्,-,साम्प्रतम्{वर्तमानार्थकम्},साम्प्रतम्{वर्तमानार्थकम्},इस समय,now
लोके,B-G,लोक{7}{पुं-ए.},लोक+{में/पर},लोक में,world
गुणवान्,B-A,गुणवत्{1}{पुं-ए.},गुणवत्+{0/ने},प्रशस्त गुणों से युक्त,associated with virtues
कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
च,-,च,च,भी,too
वीर्यवान्,B-A,वीर्यवत्{1}{पुं-ए.},वीर्यवत्+{0/ने},पराक्रम सम्पन्न,possessed of prowess
3.2.Aधर्मज्ञः,3.2.CB-A,3.2.Dधर्मज्ञ{1}{पुं-ए.},3.2.Eधर्मज्ञ+{0/ने},3.2.Fधर्म के ज्ञाता,3.2.Gknower of duties
च,-,च,च,भी,too
कृतज्ञः,B-A,कृतज्ञ{1}{पुं-ए.},कृतज्ञ+{0/ने},दूसरों के उपकार को याद रखने वाला,conscious of service done by others
च,-,च,च,भी,too
सत्य-वाक्यः,B-A,सत्य-वाक्य{1}{पुं-ए.},सत्य-वाक्य+{0/ने},सदा ही सत्य बोलने वाला,one who always speaks truth
दृढ-व्रतः,B-A,दृढ-व्रत{1}{पुं-ए.},दृढ-व्रत+{0/ने},दृढ संकल्प वाला,determined
2,-,2,2,2,2
4.1.Aचारित्रेण,4.1.CB-C,4.1.Dचारित्र{3}{नपुं-ए.},4.1.Eचारित्र+{से3},4.1.Fचारित्र्य से,4.1.Gright conduct
च,-,च,च,भी,too
कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
युक्तः,B-A,युक्त{1}{पुं-ए.},युक्त+{0/ने},सम्पन्न,associated
सर्व-भूतेषु,B-G,सर्व-भूत{7}{पुं-ब.},सर्व-भूत+{में/पर},सभी प्राणियों में,among all the living beings
कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
हितः,B-A,हित{1}{पुं-ए.},हित+{0/ने},हित करने वाला,one who does good
4.2.Aविद्वान्,4.2.CB-A,4.2.Dविद्वस्{1}{पुं-ए.},4.2.Eविद्वस्+{0/ने},4.2.Fशास्त्रों का ज्ञाता,4.2.Gman of sastric knowledge
कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
समर्थः,B-A,समर्थ{1}{पुं-ए.},समर्थ+{0/ने},समर्थ,"capable,skilful"
च,-,च,च,भी,too
कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
च,-,च,च,भी,too
एक-प्रिय-दर्शनः,B-A,एक-प्रिय-दर्शन{1}{पुं-एक},एक-प्रिय-दर्शन+{0/ने},सभी का हमेशा प्रिय,one who is dear to all
3,-,3,3,3,3
5.1.Aआत्मवान्,5.1.CB-A,5.1.Dआत्मवत्{1}{पुं-ए.},5.1.Eआत्मवत्+{0/ने},5.1.Fस्वाधीन अन्त:करण वाला,5.1.Gsubduer of self
कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
जित-क्रोधः,B-A,जित-क्रोध{1}{पुं-ए.},जित-क्रोध+{0/ने},क्रोध को वश में रखनेवाला,conquerer of anger
द्युतिमान्,B-A,द्युतिमत्{1}{पुं-ए.},द्युतिमत्+{0/ने},कान्तियुक्त,radiant
कः,B-A,किम्{1}{पुं-ए.},किम्+{0/ने},कौन,who
अनसूयकः,-,अनसूयकः{1}{पुं-ए.},अनसूयकः+{0/ने},असूया से रहित,free from jealousy
5.2.Aकस्य,5.2.CB-F,5.2.Dकिम्{6}{पुं-ए.},5.2.Eकिम्+{का},5.2.Fकिससे,5.2.Gfrom whom
बिभ्यति,B-v,भी{कर्तरि लट् प्रपु ब.},भी{कर्तरि लट् प्रपु ब.},भयभीत होते हैं,do fear
देवाः,B-A,देव{1}{पुं-ब.},देव+{0/ने},देवता,the gods
च,-,च,च,भी,too
जात-रोषस्य,B-F,जात-रोष{6}{पुं-ए.},जात-रोष+{का},क्रुद्ध होने (पर),when wrath is provoked
सम्-युगे,B-G,सम्-युग{7}{पुं-ए.},सम्-युग+{में/पर},युद्ध में,in the battle
4,-,4,4,4,4
6.1.Aएतद्,6.1.CB-B,6.1.Dएतद्{2}{नपुं-ए.},6.1.Eएतद्+{को2},6.1.Fइसे,6.1.Gएतद्
इच्छामि,B-v,इष्{कर्तरि लट् उपु ए.},इष्{कर्तरि लट् उपु ए.},चाहता हूँ,(I)desire
अहम्,B-A,अस्मद्{1}{सर्व-ए.},अस्मद्+{0/ने},मैं,I
श्रोतुम्,-,श्रोतुम्{तुमुन्नन्तम्},श्रोतुम्{तुमुन्नन्तम्},सुनना,to hear
परम्,-,परम्,परम्,उत्कट,great
कौतूहलम्,B-A,कौतूहल{1}{नपुं-ए.},कौतूहल+{0/ने},कौतुक,curiosity
हि,-,हि,हि,चूँकि,because
मे,-,अस्मद्{6}{ए.},अस्मद्+{का},मेरा,mine
6.2.Aमहर्षे,6.2.CB-G,6.2.Dमहर्षि{8}{पुं-1-ए.},6.2.Eमहर्षि+{में/पर},6.2.Fमुनिवर,6.2.GO sage!
त्वम्,B-A,युष्मद्{1}{ए.},युष्मद्+{0/ने},तुम (आप),you
समर्थः,B-A,समर्थ{1}{पुं-ए.},समर्थ+{0/ने},समर्थ,"capable,skillful"
असि,B-v,अस्{कर्तरि लट् मपु ए.},अस्{कर्तरि लट् मपु ए.},हो,(you)are
ज्ञातुम्,-,ज्ञातुम्{तुमुन्नन्तम्},ज्ञातुम्{तुमुन्नन्तम्},जानने के लिए,to know
एवं-विधम्,B-B,एवंविध{2}{पुं-ए.},एवंविध+{को2},उक्त गुणों से युक्त,having such good qualities
नरम्,B-B,नर{2}{पुं-ए.},नर+{को2},मानव को,to man
5,-,5,5,5,5
7.1.Aश्रुत्वा,7.1.C-,7.1.Dश्रु{क्त्वान्तम्},7.1.Eश्रु{क्त्वान्तम्},7.1.Fसुनकर,7.1.Gafter hearing
च,-,च,च,भी,too
एतत्,B-B,एतद्{2}{नपुं-ए.},एतद्+{को2},इसे,which was told earlier
त्रिलोकज्ञः,B-A,त्रिलोकज्ञ{1}{पुं-ए.},त्रिलोकज्ञ+{0/ने},तीना लोकों के ज्ञाता,knower of three worlds
वाल्मीकेः,B-F,वाल्मीकि{6}{पुं-ए.},वाल्मीकि+{का},रामायण के लेखक वाल्मीकि से,"to Valmiki,the auther of Ramayana"
नारदः,B-A,नारद{1}{पुं-ए.},नारद+{0/ने},देवर्षि नारद,divine sage Narada
वचः,B-B,वचस्{2}{नपुं-ए.},वचस्+{को2},पहले कही गयी वाणी को,speech
7.2.Aश्रूयताम्,7.2.C-,7.2.Dश्रु{कर्मणि लोट् प्रपु ए./श्रु-भावे},7.2.Eश्रु{कर्मणि लोट् प्रपु ए./श्रु-भावे},7.2.Fसुनिए,7.2.Gplease hear
इति,-,इति,इति,ऐसा,इति
च,-,च,च,भी,too
आ-मन्त्र्य,-,आ-मन्त्र्य{ल्यबन्तम्},आ-मन्त्र्य{ल्यबन्तम्},आह्वान करके,by drawing attention
प्र-हृष्टः,B-A,प्र-हृष्ट{1}{पुं-ए.},प्र-हृष्ट+{0/ने},प्रसन्न (होते हुए),being delighted
वाक्यम्,B-B,वाक्य{2}{नपुं-ए.},वाक्य+{को2},वचन,statement
अब्रवीत्,B-v,ब्रू{कर्तरि लुङ् प्रपु ए.},ब्रू{कर्तरि लुङ् प्रपु ए.},कहा,spoke out
6,-,6,6,6,6
8.1.Aबहवः,8.1.CB-A,8.1.Dबहु{1}{पुं-ब.},8.1.Eबहु+{0/ने},8.1.Fबहवः,8.1.Gmanifold
दुर्लभाः,B-A,दुर्लभ{1}{पुं-ब.},दुर्लभ+{0/ने},दु:ख से प्राप्त करने योग्य,rare
च,-,च,च,भी,too
एव,-,एव,एव,एव,एव
ये,B-A,यद्{1}{पुं-ब.},यद्+{0/ने},ये,those
त्वया,B-C,युष्मद्{3}{पुं-ए.},युष्मद्+{से3},आपके द्वारा,by you
कीर्तिताः,B-A,कीर्तित{1}{पुं-ब.},कीर्तित+{0/ने},कीर्तिताः,that have been described
गुणाः,B-A,गुण{1}{पुं-ब.},गुण+{0/ने},आदर्श गुण,virtues
8.2.Aमुने,8.2.CB-H,8.2.Dमुनि{8}{पुं-1-ए.},8.2.Eमुनि{8}{पुं-1-ए.},8.2.Fहे महर्षि वाल्मीकि,8.2.GO sage Valmiki
वक्ष्यामि,B-v,वच्{कर्तरि लृट् उपु ए.},वच्{कर्तरि लृट् उपु ए.},कहूँगा,shall tell
अहम्,B-A,अस्मद्{1}{सर्व-ए.},अस्मद्+{0/ने},मैं,I
बुद्ध्वा,-,बुद्ध्वा{क्त्वान्तम्},बुद्ध्वा{क्त्वान्तम्},समझकर,having considered
